# Program:featureCounts v2.0.8; Command:"featureCounts" "-p" "-T" "8" "-t" "CDS" "-g" "gene_name" "-a" "ref/LacFitz_annotation/LacFitz_assembly.gtf" "-o" "LacFitz_transcripts.txt" "mapping/L-A_S491_L006_vs_LacFitz.sorted.bam" "mapping/L-B_S492_L006_vs_LacFitz.sorted.bam" "mapping/L-C_S493_L006_vs_LacFitz.sorted.bam" "mapping/LplusA_S498_L006_vs_LacFitz.sorted.bam" "mapping/LplusB_S499_L006_vs_LacFitz.sorted.bam" "mapping/LplusC_S500_L006_vs_LacFitz.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	mapping/L-A_S491_L006_vs_LacFitz.sorted.bam	mapping/L-B_S492_L006_vs_LacFitz.sorted.bam	mapping/L-C_S493_L006_vs_LacFitz.sorted.bam	mapping/LplusA_S498_L006_vs_LacFitz.sorted.bam	mapping/LplusB_S499_L006_vs_LacFitz.sorted.bam	mapping/LplusC_S500_L006_vs_LacFitz.sorted.bam
ydfG	MRSA_LacFitz_contig_1	2051106	2051801	-	696	6367	6678	9259	1801	2708	3550
iraB	MRSA_LacFitz_contig_1	2052090	2052371	+	282	5323	5178	6577	3293	3278	4430
PBCCJM_02064	MRSA_LacFitz_contig_1	2052631	2052822	-	192	172676	175512	249167	59934	58649	100588
PBCCJM_02066	MRSA_LacFitz_contig_1	2053383	2054177	-	795	1855	1687	2332	913	1010	998
PBCCJM_02067	MRSA_LacFitz_contig_1	2054713	2055000	-	288	546	563	743	349	308	380
PBCCJM_02068	MRSA_LacFitz_contig_1	2055003	2055329	-	327	1245	1195	1620	755	652	796
PBCCJM_02069	MRSA_LacFitz_contig_1	2055541	2056653	-	1113	4328	4414	6071	2376	2193	2649
PBCCJM_02070	MRSA_LacFitz_contig_1	2056650	2057039	-	390	821	974	1322	505	457	547
PBCCJM_02071	MRSA_LacFitz_contig_1	2056988	2057434	-	447	824	715	894	531	533	583
PBCCJM_02072	MRSA_LacFitz_contig_1	2057546	2058322	-	777	2107	2077	2686	1319	1393	1535
srmB	MRSA_LacFitz_contig_1	2058625	2061486	-	2862	9705	8959	11680	6952	6926	8623
pgcA	MRSA_LacFitz_contig_1	2062168	2063805	+	1638	8196	7586	10435	7192	5482	6970
PBCCJM_02076	MRSA_LacFitz_contig_1	2064089	2064355	+	267	7118	7290	11162	288	302	851
PBCCJM_02077	MRSA_LacFitz_contig_1	2064499	2064807	+	309	2047	2024	3245	106	126	337
PBCCJM_02078	MRSA_LacFitz_contig_1	2064915	2065085	-	171	382	393	725	14	26	53
PBCCJM_02079	MRSA_LacFitz_contig_1	2065129	2066322	-	1194	1291	1361	1829	1300	1112	1108
sasG	MRSA_LacFitz_contig_1	2066706	2067272	-	567	1903	1935	2511	891	1059	1157
PBCCJM_02081	MRSA_LacFitz_contig_1	2068718	2070052	-	1335	2288	2670	3042	600	678	1145
sarT	MRSA_LacFitz_contig_1	2070358	2070714	-	357	543	615	793	59	66	82
sarU	MRSA_LacFitz_contig_1	2071041	2071784	+	744	165	166	228	65	113	161
galU	MRSA_LacFitz_contig_1	2071995	2072861	-	867	7034	6028	7897	5562	4380	4856
fnbB	MRSA_LacFitz_contig_1	2073041	2075863	-	2823	2172	2942	3188	356	392	728
fnbA	MRSA_LacFitz_contig_1	2076545	2079601	-	3057	3424	4082	5482	186	252	340
gntT	MRSA_LacFitz_contig_1	2080070	2081428	-	1359	4171	2505	4904	4705	3271	9442
gntK	MRSA_LacFitz_contig_1	2081545	2083098	-	1554	3011	1581	2967	4537	2321	7947
ydaT	MRSA_LacFitz_contig_1	2085808	2086224	-	417	1606	1093	2145	1282	1278	1122
yccC	MRSA_LacFitz_contig_1	2086363	2088186	-	1824	5434	3388	7656	9665	10075	9443
uhpC	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	2088664;2636751;2434458	2089941;2638127;2435846	-;-;+	4044	9290	6512	8973	20529	10846	21544
uptA	MRSA_LacFitz_contig_1	2090488	2091099	+	612	8359	8262	12039	8072	8751	10257
PBCCJM_02096	MRSA_LacFitz_contig_1	2091196	2092359	-	1164	545	452	556	492	518	516
PBCCJM_02099	MRSA_LacFitz_contig_1	2093941	2094711	+	771	5599	8317	7086	9407	8970	6442
fbp	MRSA_LacFitz_contig_1	2095084	2097048	+	1965	7146	4964	8327	10132	5148	9774
PBCCJM_02102	MRSA_LacFitz_contig_1	2097196	2097273	+	78	62	40	83	39	24	54
ypfH	MRSA_LacFitz_contig_1	2098576	2099169	-	594	364	273	365	224	194	212
PBCCJM_02105	MRSA_LacFitz_contig_1	2099191	2100159	-	969	105	91	124	86	121	121
yidJ	MRSA_LacFitz_contig_1	2100898	2101182	+	285	2116	2146	2536	1356	1349	899
ldhD	MRSA_LacFitz_contig_1	2103220	2104212	+	993	8644	10679	12268	150543	177424	199071
PBCCJM_02112	MRSA_LacFitz_contig_1	2105582	2106217	+	636	179	178	242	990	1252	1701
PBCCJM_02113	MRSA_LacFitz_contig_1	2106232	2106954	+	723	682	788	986	1530	2024	2750
srtA	MRSA_LacFitz_contig_1	2107114	2107734	-	621	13406	13357	17864	8194	8665	7886
mnaT	MRSA_LacFitz_contig_1	2107928	2108419	+	492	4708	3533	4737	1723	1903	2481
PBCCJM_02116	MRSA_LacFitz_contig_1	2108857	2109027	-	171	1418	1454	1548	646	629	781
sdaAA	MRSA_LacFitz_contig_1	2109206	2110105	-	900	953	846	881	1214	837	1589
sdaAB	MRSA_LacFitz_contig_1	2110119	2110799	-	681	402	388	479	806	482	861
frwC	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	2110802;2677810	2111845;2678841	-;+	2076	7011	7190	8056	2811	2096	3859
PBCCJM_02120	MRSA_LacFitz_contig_1	2112396	2112599	+	204	1238	1270	1362	910	843	954
PBCCJM_02123	MRSA_LacFitz_contig_1	2114900	2115244	-	345	1280	1485	1768	761	801	924
glcB	MRSA_LacFitz_contig_1	2116076	2118142	-	2067	63016	49163	72811	108070	71701	102990
cidB	MRSA_LacFitz_contig_1	2120229	2120918	-	690	4722	3793	5953	1589	1615	1991
cidA	MRSA_LacFitz_contig_1	2120911	2121306	-	396	438	571	522	921	814	1411
PBCCJM_02132	MRSA_LacFitz_contig_1	2123171	2123602	+	432	5032	6141	6719	2272	2684	2650
PBCCJM_02133	MRSA_LacFitz_contig_1	2124362	2124619	-	258	1141	921	1468	1088	877	1403
hMG1	MRSA_LacFitz_contig_1	2125198	2126475	-	1278	13698	12842	17134	10871	9531	10110
pksG	MRSA_LacFitz_contig_1	2126729	2127895	+	1167	53648	49643	63971	47879	42624	47310
adaB	MRSA_LacFitz_contig_1	2128065	2128586	-	522	3199	3156	4028	2109	2034	2537
clpL	MRSA_LacFitz_contig_1	2128995	2131100	+	2106	22451	22510	37146	6609	9505	7606
PBCCJM_02138	MRSA_LacFitz_contig_1	2131169	2131339	-	171	86	96	132	69	72	246
feoB	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	2131352;2166508	2133346;2167854	-;-	3342	1703	1710	2473	1003	1114	2993
feoA	MRSA_LacFitz_contig_1	2133358	2133585	-	228	4	8	18	38	75	274
farE	MRSA_LacFitz_contig_1	2133801	2136290	-	2490	3593	2935	4047	1412	1663	1887
farR	MRSA_LacFitz_contig_1	2136435	2136983	+	549	3370	2905	3894	2530	2564	2768
pruA	MRSA_LacFitz_contig_1	2137339	2138883	-	1545	7372	4304	7908	6537	4885	11005
cwrA	MRSA_LacFitz_contig_1	2139911	2140102	+	192	484	639	752	1802	2341	4017
copZ	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	2140342;2143041	2142750;2143247	+;+	2616	8914	8071	10849	9191	8730	9687
PBCCJM_02148	MRSA_LacFitz_contig_1	2143337	2144335	-	999	3030	2485	4278	2248	2309	2991
crtN	MRSA_LacFitz_contig_1	2145939	2147447	-	1509	4758	2777	6136	668	815	616
crtM	MRSA_LacFitz_contig_1	2147459	2148322	-	864	1135	688	1504	130	176	80
crtQ	MRSA_LacFitz_contig_1	2148359	2149486	-	1128	1823	1034	2053	128	236	126
crtP	MRSA_LacFitz_contig_1	2149492	2150985	-	1494	2094	1421	2667	298	327	90
crtO	MRSA_LacFitz_contig_1	2150978	2151475	-	498	394	292	504	60	53	13
ssaA	MRSA_LacFitz_contig_1	2151641	2152408	-	768	9552	11747	12817	2075	4280	1260
oatA	MRSA_LacFitz_contig_1	2152769	2154580	-	1812	38079	40451	48009	14970	17320	21161
argA	MRSA_LacFitz_contig_1	2155091	2155579	-	489	2597	3730	3871	2051	2142	1080
isaA	MRSA_LacFitz_contig_1	2155855	2156556	-	702	165622	198542	215108	124598	138714	68809
PBCCJM_02163	MRSA_LacFitz_contig_1	2160496	2160873	-	378	637	514	676	520	528	411
PBCCJM_02165	MRSA_LacFitz_contig_1	2161731	2162030	-	300	318	315	363	345	297	284
ligW	MRSA_LacFitz_contig_1	2163513	2164523	+	1011	3649	2651	4687	746	1032	881
PBCCJM_02173	MRSA_LacFitz_contig_1	2169282	2169578	-	297	1598	1739	2317	100	124	134
PBCCJM_02174	MRSA_LacFitz_contig_1	2169566	2169937	-	372	1058	1110	1531	79	85	93
PBCCJM_02175	MRSA_LacFitz_contig_1	2169949	2170227	-	279	568	585	721	44	40	34
PBCCJM_02176	MRSA_LacFitz_contig_1	2170569	2171435	-	867	1732	1382	2288	578	625	357
pyrD	MRSA_LacFitz_contig_1	2171653	2172717	+	1065	36305	43988	54301	26305	27481	17096
PBCCJM_02178	MRSA_LacFitz_contig_1	2172872	2173147	+	276	8539	10234	11932	6192	6780	4117
queH	MRSA_LacFitz_contig_1	2173333	2174055	-	723	4015	4096	4797	10721	9699	9258
phnB	MRSA_LacFitz_contig_1	2174409	2174858	+	450	5006	5203	6195	456	806	1064
PBCCJM_02182	MRSA_LacFitz_contig_1	2175659	2177341	+	1683	801	609	1001	442	568	458
panD	MRSA_LacFitz_contig_1	2177470	2177853	-	384	3790	4010	4781	3365	3698	3446
panC	MRSA_LacFitz_contig_1	2177855	2178706	-	852	8619	8376	11035	7293	7253	6987
panB	MRSA_LacFitz_contig_1	2178699	2179517	-	819	4698	4342	5746	3937	3941	3692
ldh2	MRSA_LacFitz_contig_1	2181518	2182477	-	960	27818	32474	38328	102271	89984	69320
argD	MRSA_LacFitz_contig_1	2184693	2186030	-	1338	1198	713	1294	607	540	704
PBCCJM_02191	MRSA_LacFitz_contig_1	2186288	2186704	+	417	216	178	323	54	48	48
fda	MRSA_LacFitz_contig_1	2186827	2187717	+	891	41084	61614	65661	68952	51858	64834
lqo	MRSA_LacFitz_contig_1	2187910	2189406	-	1497	286819	263685	342223	212808	212040	238145
acs	MRSA_LacFitz_contig_1	2190091	2191710	-	1620	28330	24431	38565	21333	22360	22488
hmoA	MRSA_LacFitz_contig_1	2191883	2192326	-	444	1887	1510	2348	580	740	681
betA	MRSA_LacFitz_contig_1	2193097	2194806	-	1710	658	618	703	438	657	704
betB	MRSA_LacFitz_contig_1	2195067	2196557	-	1491	345	273	392	374	674	601
gbsR	MRSA_LacFitz_contig_1	2196810	2197373	+	564	2162	2117	2396	666	644	1189
PBCCJM_02200	MRSA_LacFitz_contig_1	2197561	2198247	-	687	1125	1016	1244	200	273	255
nrdG	MRSA_LacFitz_contig_1	2200652	2201188	-	537	2701	4069	4912	1421	2298	820
nrdD	MRSA_LacFitz_contig_1	2201185	2203035	-	1851	22406	27805	43459	10629	15395	6643
citM	MRSA_LacFitz_contig_1	2203282	2204652	-	1371	1584	1109	2105	436	475	552
cysG2	MRSA_LacFitz_contig_1	2205145	2205750	-	606	2425	2338	3220	2692	2951	3187
cysJ	MRSA_LacFitz_contig_1	2205813	2207693	-	1881	3811	3645	4807	4714	4470	4949
btuE	MRSA_LacFitz_contig_1	2208088	2208585	-	498	866	735	1143	814	1241	3369
nsaS	MRSA_LacFitz_contig_1	2212869	2213756	-	888	8244	8063	11630	5454	4852	6031
nsaR	MRSA_LacFitz_contig_1	2213767	2214432	-	666	4263	3797	5254	3262	2885	3451
PBCCJM_02212	MRSA_LacFitz_contig_1	2214458	2214658	-	201	1859	1822	2473	1348	1208	1553
phoA	MRSA_LacFitz_contig_1	2214856	2216280	+	1425	393	287	423	257	298	281
PBCCJM_02215	MRSA_LacFitz_contig_1	2216340	2216444	-	105	4759	4729	6060	4499	4423	5042
frmB	MRSA_LacFitz_contig_1	2217263	2218024	-	762	2041	1929	2295	2572	2417	2254
clfB	MRSA_LacFitz_contig_1	2218140	2220839	-	2700	176842	230654	247314	8861	10405	15948
arcR	MRSA_LacFitz_contig_1	2221189	2221893	-	705	3421	2840	4594	920	1194	1186
arcD	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	2222950;2388120	2224380;2389541	-;-	2853	4725	3338	6334	2068	2219	3188
arcA	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	2225514;2389627	2226749;2390862	-;-	2472	13036	12156	16859	10212	7206	8330
aur	MRSA_LacFitz_contig_1	2227912	2229441	-	1530	2948	1716	3043	712	511	972
isaB	MRSA_LacFitz_contig_1	2229865	2230392	-	528	2911	3170	3937	14134	12651	19987
PBCCJM_02227	MRSA_LacFitz_contig_1	2230650	2231108	+	459	593	624	792	3051	2871	4560
PBCCJM_02232	MRSA_LacFitz_contig_1	2239507	2241366	+	1860	43406	39966	60441	22555	25972	40731
sasF	MRSA_LacFitz_contig_1	2242361	2244268	-	1908	4509	4440	5777	2219	2463	4111
gtfB	MRSA_LacFitz_contig_1	2244510	2245868	-	1359	5856	4899	6917	577	717	1078
gtfA	MRSA_LacFitz_contig_1	2245861	2247369	-	1509	6763	6169	8711	571	739	1173
secA2	MRSA_LacFitz_contig_1	2247387	2249777	-	2391	5517	4775	6360	1320	1367	1510
asp3	MRSA_LacFitz_contig_1	2249767	2250726	-	960	425	324	467	144	194	412
asp2	MRSA_LacFitz_contig_1	2250704	2252275	-	1572	519	398	589	177	241	496
asp1	MRSA_LacFitz_contig_1	2252262	2253815	-	1554	472	444	715	99	169	406
secY2	MRSA_LacFitz_contig_1	2253826	2255037	-	1212	401	361	570	104	145	334
sraP	MRSA_LacFitz_contig_1	2255167	2261982	-	6816	8317	7789	11471	4319	6990	14950
rutF	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	2262527;2264800	2263219;2265411	-;-	1305	2460	2121	2935	3189	2731	2281
PBCCJM_02244	MRSA_LacFitz_contig_1	2263485	2263913	+	429	1038	996	1373	1042	1031	1054
PBCCJM_02245	MRSA_LacFitz_contig_1	2263900	2264202	+	303	890	858	1165	1049	967	882
msrA	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_2	2265490;11516	2265966;11542	-;+	504	234	233	287	930	702	565
ywqE	MRSA_LacFitz_contig_1	2266704	2267471	-	768	249	250	293	42190	36381	33366
capA	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	2268177;2491497	2268839;2492165	-;+	1332	422	304	481	30950	26576	23402
icaR	MRSA_LacFitz_contig_1	2269687	2270247	-	561	4491	4153	5770	2825	3912	5200
icaA	MRSA_LacFitz_contig_1	2270411	2271649	+	1239	61	92	119	149	113	143
icaD	MRSA_LacFitz_contig_1	2271613	2271918	+	306	18	11	39	26	11	29
icaB	MRSA_LacFitz_contig_1	2271915	2272787	+	873	219	210	329	223	247	316
icaC	MRSA_LacFitz_contig_1	2272774	2273826	+	1053	542	579	635	533	595	666
lip1	MRSA_LacFitz_contig_1	2274273	2276318	-	2046	5661	1989	5699	1593	681	1684
hisIE	MRSA_LacFitz_contig_1	2277408	2278040	-	633	891	812	1575	609	788	508
hisF	MRSA_LacFitz_contig_1	2278037	2278795	-	759	473	357	748	336	499	279
hisA	MRSA_LacFitz_contig_1	2278792	2279496	-	705	528	487	997	372	593	357
hisH	MRSA_LacFitz_contig_1	2279489	2280067	-	579	337	235	625	242	447	310
hisB	MRSA_LacFitz_contig_1	2280064	2280642	-	579	297	223	570	200	382	325
hisD	MRSA_LacFitz_contig_1	2281640	2282890	-	1251	3133	1452	4372	1388	1931	3146
hisG	MRSA_LacFitz_contig_1	2282883	2283497	-	615	1779	784	2105	598	573	1113
hisZ	MRSA_LacFitz_contig_1	2283515	2284333	-	819	5801	2776	7128	1291	1044	2005
PBCCJM_02269	MRSA_LacFitz_contig_1	2284638	2285762	-	1125	1241	1110	1789	15964	15465	16862
eCF-S	MRSA_LacFitz_contig_1	2289019	2289573	-	555	336	154	353	311	298	296
PBCCJM_02274	MRSA_LacFitz_contig_1	2289602	2290450	-	849	450	216	477	364	281	341
yceI	MRSA_LacFitz_contig_1	2290830	2291345	+	516	1129	828	1174	1229	970	1050
drp35	MRSA_LacFitz_contig_1	2291494	2292468	-	975	1502	1184	1833	2164	1914	3588
trhO	MRSA_LacFitz_contig_1	2292709	2293665	+	957	4137	4399	4980	1914	2416	2984
pcp	MRSA_LacFitz_contig_1	2293817	2294455	+	639	1265	1058	1595	743	830	940
PBCCJM_02279	MRSA_LacFitz_contig_1	2294574	2295341	-	768	2151	2170	2867	2010	2155	2130
padR	MRSA_LacFitz_contig_1	2295331	2295669	-	339	378	410	528	482	483	431
PBCCJM_02281	MRSA_LacFitz_contig_1	2295836	2295982	+	147	1280	966	1604	78	158	40
rarD	MRSA_LacFitz_contig_1	2298368	2299276	-	909	2389	2453	3137	3507	3234	3661
PBCCJM_02284	MRSA_LacFitz_contig_1	2299501	2300076	+	576	1104	865	1541	172	351	84
nixA	MRSA_LacFitz_contig_1	2300241	2301257	+	1017	2123	1646	2847	2212	2189	2548
nhoA	MRSA_LacFitz_contig_1	2301500	2302294	+	795	1437	1225	2044	861	1034	1100
hdeD	MRSA_LacFitz_contig_1	2302428	2302940	-	513	1952	1374	2252	674	773	584
vraD	MRSA_LacFitz_contig_1	2303223	2303981	+	759	287	238	389	213	187	185
vraE	MRSA_LacFitz_contig_1	2303971	2305851	+	1881	812	776	1005	414	491	474
vraH	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	2305944;2307698	2306135;2307889	+;+	384	172	110	171	104	107	109
PBCCJM_02291	MRSA_LacFitz_contig_1	2306147	2306683	+	537	1737	1750	2308	1271	1204	1205
PBCCJM_02292	MRSA_LacFitz_contig_1	2306743	2307240	-	498	919	886	1144	680	665	662
PBCCJM_02296	MRSA_LacFitz_contig_1	2309438	2309833	-	396	826	1008	1359	1347	1216	823
PBCCJM_02297	MRSA_LacFitz_contig_1	2309901	2310254	-	354	674	898	1144	1242	1105	695
noc	MRSA_LacFitz_contig_1	2310707	2311546	-	840	6632	6110	7081	6444	5606	6582
rsmG	MRSA_LacFitz_contig_1	2311589	2312308	-	720	4297	4212	4780	3926	3028	3587
mnmG	MRSA_LacFitz_contig_1	2312308	2314185	-	1878	10689	11191	12446	8589	7227	7156
mnmE	MRSA_LacFitz_contig_1	2314252	2315631	-	1380	5583	5976	6724	4215	4548	3528
rnpA	MRSA_LacFitz_contig_1	2315770	2316117	-	348	1999	2053	2529	1472	1882	1495
rpmH	MRSA_LacFitz_contig_1	2316244	2316381	-	138	60502	63372	66993	47753	47710	43628
dnaA	MRSA_LacFitz_contig_1	2317112	2318473	+	1362	36482	35652	50024	28300	24966	27713
dnaN	MRSA_LacFitz_contig_1	2318751	2319884	+	1134	27928	26938	35134	24192	22041	22382
yaaA	MRSA_LacFitz_contig_1	2320274	2320510	+	237	4718	4095	5792	4303	4067	3700
recF	MRSA_LacFitz_contig_1	2320507	2321619	+	1113	23207	22680	31626	20876	19421	18638
gyrB	MRSA_LacFitz_contig_1	2321629	2323563	+	1935	34904	32372	42481	31184	30797	26332
gyrA	MRSA_LacFitz_contig_1	2323600	2326263	+	2664	53004	46235	60698	47527	47454	41668
nnrD	MRSA_LacFitz_contig_1	2326350	2327162	-	813	6225	6600	7805	5274	4868	4290
hutH	MRSA_LacFitz_contig_1	2327488	2329002	+	1515	686	597	876	601	452	498
serS	MRSA_LacFitz_contig_1	2329381	2330667	+	1287	30454	24291	32604	35986	32263	35193
azlC	MRSA_LacFitz_contig_1	2331317	2332012	+	696	1608	1238	1888	1169	1141	1435
azlD2	MRSA_LacFitz_contig_1	2332009	2332338	+	330	898	645	1079	508	586	733
mET2	MRSA_LacFitz_contig_1	2332701	2333669	+	969	1437	1196	1833	910	917	1148
yybS	MRSA_LacFitz_contig_1	2333975	2334898	+	924	21342	19976	27873	18032	18289	18614
gdpP	MRSA_LacFitz_contig_1	2334913	2336880	+	1968	47331	43631	59322	40812	40290	39117
rplI	MRSA_LacFitz_contig_1	2336877	2337323	+	447	13708	12476	18839	11824	11796	10879
purA	MRSA_LacFitz_contig_1	2339033	2340316	+	1284	9165	10954	10849	7572	11338	8330
yycF	MRSA_LacFitz_contig_1	2341520	2342221	+	702	11195	10435	14281	9550	9389	9445
yycH	MRSA_LacFitz_contig_1	2344053	2345387	+	1335	21563	19757	27258	17647	18794	15748
yycI	MRSA_LacFitz_contig_1	2345388	2346176	+	789	19485	18341	25597	14609	15332	12838
adsA	MRSA_LacFitz_contig_1	2347594	2349912	+	2319	4658	4366	5609	1220	1522	2298
rlmH	MRSA_LacFitz_contig_1	2350280	2350759	+	480	1778	1662	2281	1875	1343	1600
PBCCJM_02330	MRSA_LacFitz_contig_1	2351081	2352337	+	1257	3525	3025	3954	3625	3339	3470
PBCCJM_02332	MRSA_LacFitz_contig_1	2353377	2353544	+	168	546	426	576	432	415	442
PBCCJM_02334	MRSA_LacFitz_contig_1	2355221	2355649	+	429	1469	1457	1934	970	1155	1136
PBCCJM_02336	MRSA_LacFitz_contig_1	2357904	2358788	+	885	110527	107931	142214	85669	77008	84215
PBCCJM_02337	MRSA_LacFitz_contig_1	2358760	2359020	+	261	16623	13977	17815	12120	11025	11694
PBCCJM_02339	MRSA_LacFitz_contig_1	2360670	2361176	-	507	94	112	115	56	61	80
PBCCJM_02340	MRSA_LacFitz_contig_1	2361191	2361502	-	312	70	68	70	41	41	40
PBCCJM_02341	MRSA_LacFitz_contig_1	2361504	2361596	-	93	0	0	0	0	0	0
PBCCJM_02342	MRSA_LacFitz_contig_1	2361589	2361939	-	351	80	69	87	57	29	68
pinE	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	2362461;2364111	2364089;2365460	-;-	2979	6904	6723	8657	4174	4106	4946
PBCCJM_02345	MRSA_LacFitz_contig_1	2365694	2367481	-	1788	1210	1040	1555	667	770	888
PBCCJM_02346	MRSA_LacFitz_contig_1	2367481	2367771	-	291	110	125	125	53	95	92
PBCCJM_02347	MRSA_LacFitz_contig_1	2367910	2368959	+	1050	2298	2371	3049	2167	2217	2349
PBCCJM_02349	MRSA_LacFitz_contig_1	2369632	2371122	+	1491	8617	8331	10797	7313	7593	8168
PBCCJM_02350	MRSA_LacFitz_contig_1	2371746	2372750	-	1005	1325	1150	1663	779	934	1191
PBCCJM_02351	MRSA_LacFitz_contig_1	2373003	2373374	+	372	145	96	131	40	44	82
PBCCJM_02352	MRSA_LacFitz_contig_1	2373503	2374123	+	621	15170	15124	20033	4836	5757	7747
PBCCJM_02353	MRSA_LacFitz_contig_1	2375040	2375210	-	171	107	144	216	80	130	216
PBCCJM_02354	MRSA_LacFitz_contig_1	2375612	2376577	+	966	1349	1336	1639	640	836	1175
PBCCJM_02355	MRSA_LacFitz_contig_1	2376957	2377286	+	330	601	702	883	343	363	564
PBCCJM_02356	MRSA_LacFitz_contig_1	2377363	2377722	-	360	1523	1438	1900	1155	1286	1361
PBCCJM_02357	MRSA_LacFitz_contig_1	2378293	2379102	-	810	233	220	346	173	163	204
PBCCJM_02360	MRSA_LacFitz_contig_1	2380609	2381736	+	1128	581	313	648	433	381	355
PBCCJM_02361	MRSA_LacFitz_contig_1	2381991	2382215	-	225	24	20	40	17	24	23
PBCCJM_02362	MRSA_LacFitz_contig_1	2382229	2382732	-	504	135	116	166	62	82	64
PBCCJM_02363	MRSA_LacFitz_contig_1	2382748	2383059	-	312	54	29	59	15	30	30
PBCCJM_02364	MRSA_LacFitz_contig_1	2383061	2383153	-	93	0	0	0	0	0	0
PBCCJM_02365	MRSA_LacFitz_contig_1	2383146	2383496	-	351	38	26	54	19	18	19
crp	MRSA_LacFitz_contig_1	2387389	2388078	-	690	225	270	344	40	39	77
PBCCJM_02375	MRSA_LacFitz_contig_1	2392783	2393028	+	246	734	677	1026	546	470	486
PBCCJM_02376	MRSA_LacFitz_contig_1	2393644	2394459	+	816	4196	3021	4317	1053	1181	709
ubiE	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	2396219;2630822	2396911;2631583	+;-	1455	2658	2555	3115	2546	2169	3049
ddpA	MRSA_LacFitz_contig_1	2396908	2398461	+	1554	4737	3819	5012	3747	3350	3430
PBCCJM_02380	MRSA_LacFitz_contig_1	2398464	2399420	+	957	2467	1982	2612	1970	1763	1744
dppC	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	2399420;2555441	2400187;2556604	+;+	1932	1650	1517	1889	1448	1259	1294
PBCCJM_02382	MRSA_LacFitz_contig_1	2400154	2400921	+	768	1720	1586	2049	1494	1289	1245
PBCCJM_02383	MRSA_LacFitz_contig_1	2400914	2401549	+	636	1370	1162	1414	1042	991	948
copB	MRSA_LacFitz_contig_1	2402569	2404632	+	2064	8395	7874	10398	6777	6759	8166
PBCCJM_02385	MRSA_LacFitz_contig_1	2404650	2405195	+	546	1423	1145	1511	1075	1162	1336
PBCCJM_02386	MRSA_LacFitz_contig_1	2405960	2407711	+	1752	7563	7727	10877	2708	3020	3807
dus	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	2407805;2413935	2408257;2414921	-;-	1440	10986	10464	12886	10298	10059	9584
cstR	MRSA_LacFitz_contig_1	2409227	2409487	-	261	129	110	145	153	132	139
cstA	MRSA_LacFitz_contig_1	2409624	2410691	+	1068	251	240	226	224	202	203
cstB	MRSA_LacFitz_contig_1	2410722	2412056	+	1335	548	466	684	475	443	428
fadH2	MRSA_LacFitz_contig_1;MRSA_LacFitz_contig_1	2412075;2412579	2412329;2413268	+;+	945	2581	2010	2961	894	905	856
tfoX	MRSA_LacFitz_contig_1	2415482	2415778	+	297	1173	968	1322	604	745	771
PBCCJM_02396	MRSA_LacFitz_contig_1	2415850	2417070	-	1221	1274	1128	1598	829	831	907
PBCCJM_02397	MRSA_LacFitz_contig_1	2417063	2417548	-	486	123	116	189	109	123	78
PBCCJM_02399	MRSA_LacFitz_contig_1	2418941	2419474	-	534	485	550	641	195	267	271
yofA	MRSA_LacFitz_contig_1	2419574	2420308	+	735	1189	1047	1453	787	848	852
PBCCJM_02401	MRSA_LacFitz_contig_1	2420742	2421344	+	603	1843	1651	2088	999	1048	1173
dNA2	MRSA_LacFitz_contig_1	2421611	2424763	+	3153	6224	4923	7297	4885	4517	7042
PBCCJM_02403	MRSA_LacFitz_contig_1	2424820	2425302	+	483	1567	1345	2083	1085	1251	1631
plc	MRSA_LacFitz_contig_1	2425507	2426493	+	987	1882	1296	2536	1347	1586	1858
PBCCJM_02405	MRSA_LacFitz_contig_1	2426714	2427484	+	771	395	401	573	52	41	89
PBCCJM_02406	MRSA_LacFitz_contig_1	2427503	2428306	+	804	365	310	438	89	69	174
PBCCJM_02407	MRSA_LacFitz_contig_1	2428325	2429128	+	804	450	485	647	220	211	272
PBCCJM_02408	MRSA_LacFitz_contig_1	2429192	2429962	+	771	561	486	626	232	287	301
PBCCJM_02409	MRSA_LacFitz_contig_1	2430029	2430796	+	768	943	842	1271	399	446	510
xynB	MRSA_LacFitz_contig_1	2430890	2433127	+	2238	9102	8974	12638	7546	7807	8092
nptA	MRSA_LacFitz_contig_1	2436339	2438006	-	1668	24754	27768	29366	6716	8402	9282
